id,name,city_name,country_id,cancelled,year,month,day,end_year,end_month,end_day
TurkishNationals2025,Turkish Nationals 2025,İstanbul,Turkey,0,2025,8,7,2025,8,10
TurkishOpen2013,Turkish Open 2013,Istanbul,Turkey,0,2013,4,27,2013,4,27
TurkishSummer2020,Turkish Summer 2020,Ankara,Turkey,0,2020,8,14,2020,8,16
TurkishSummerCup2013,Turkish Summer Cup 2013,Istanbul,Turkey,0,2013,8,25,2013,8,25
TurkishWinterCup2014,Turkish Winter Cup 2014,Istanbul,Turkey,0,2014,2,2,2014,2,2
TurkishWinterCup2017,Turkish Winter Cup 2017,Bursa,Turkey,0,2017,1,28,2017,1,29
TurnAroundTassie2020,Turn Around Tassie 2020,"Sorell, Tasmania",Australia,0,2020,12,12,2020,12,13
TurningatTompkinsSpring2024,Turning at Tompkins Spring 2024,"Katy, Texas",USA,0,2024,4,21,2024,4,21
TurninginCorning2025,Turning in Corning 2025,"Corning, New York",USA,0,2025,12,20,2025,12,20
TurninginTexas2018,Turning in Texas 2018,"Cedar Park, Texas",USA,0,2018,6,16,2018,6,16
TurninginTownsville2021,Turning in Townsville 2021,"Townsville, Queensland",Australia,0,2021,5,8,2021,5,9
TurninginTownsville2022,Turning in Townsville 2022,"Townsville, Queensland",Australia,0,2022,8,6,2022,8,7
TurninginTownsville2023,Turning in Townsville 2023,"Townsville, Queensland",Australia,0,2023,1,14,2023,1,15
TurninginTownsville2024,Turning in Townsville 2024,"Townsville, Queensland",Australia,0,2024,5,18,2024,5,19
TurnininTermonfeckinSat2023,Turnin' in Termonfeckin Saturday 2023,"Termonfeckin, Drogheda, Louth",Ireland,0,2023,3,11,2023,3,11
TurnininTermonfeckinSaturday2024,Turnin' in Termonfeckin Saturday 2024,Drogheda,Ireland,0,2024,6,1,2024,6,1
TurnininTermonfeckinSun2023,Turnin' in Termonfeckin Sunday 2023,"Termonfeckin, Drogheda, Louth",Ireland,0,2023,3,12,2023,3,12
TurnininTermonfeckinSunday2024,Turnin' in Termonfeckin Sunday 2024,Drogheda,Ireland,0,2024,6,2,2024,6,2
TurninOffalyFast2024,Turnin' Offaly Fast 2024,"Tullamore, Offaly",Ireland,0,2024,3,16,2024,3,17
TurnNSolveBataan2024,Turn 'N Solve Bataan 2024,Balanga Bataan,Philippines,0,2024,10,19,2024,10,20
TurnNSolveBulacan2024,Turn 'N Solve Bulacan 2024,Malolos Bulacan,Philippines,0,2024,10,26,2024,10,26
TurnNSolveCaMaNaVa2024,Turn 'N Solve CaMaNaVa 2024,"City of Valenzuela, Philippines",Philippines,0,2024,12,8,2024,12,8
TurnNSolveMarikina2024,Turn 'N Solve Marikina 2024,City of Marikina,Philippines,0,2024,12,15,2024,12,15
TuscanyOpen2017,Tuscany Open 2017,Montecatini Terme,Italy,0,2017,11,25,2017,11,25
TuscanyOpen2018,Tuscany Open 2018,Montecatini Terme,Italy,0,2018,12,8,2018,12,8
TUT2013,TUT 2013,Tianjin,China,0,2013,11,17,2013,11,17
Tutuli2024,Tutuli 2024,Hermosillo,Mexico,0,2024,5,25,2024,5,26
TuwimCubeRace2016,Tuwim Cube Race 2016,Jastrzębie-Zdrój,Poland,0,2016,4,23,2016,4,23
TuzoClasico2019,Tuzo Clásico 2019,Pachuca Hgo.,Mexico,0,2019,6,1,2019,6,2
TverEaZyCubeRace2019,Tver EaZyCube Race 2019,Tver,Russia,0,2019,10,27,2019,10,27
TwenteOpen2012,Twente Open 2012,Enschede,Netherlands,0,2012,3,3,2012,3,4
TwenteOpen2013,Twente Open 2013,Enschede,Netherlands,0,2013,11,16,2013,11,17
TwicetheMinisota2025,Twice the Mini-sota 2025,"Maplewood, Minnesota",USA,0,2025,7,12,2025,7,13
TwinCities2009,Twin Cities Cubing Classic 2009,"Minneapolis, Minnesota",USA,0,2009,2,28,2009,2,28
